n_clusters,inertia_kmeans,inertia_minibatch
6,139562.79768237885,140017.09818803408
7,138912.079678395,139388.98977123766
8,138343.6156611704,138824.06044584152
9,137803.9176267265,138334.59694601968
10,137298.75609071561,137888.8497594564
11,136851.65163969353,137449.42842965506
12,136482.81658096137,137087.5258100796
13,136063.40428645193,136730.2308292219
14,135748.0969427371,136647.58598172467
15,135367.5556258367,136612.4938483419
16,135052.37626094156,136053.14388395907
17,134716.46797625342,135486.19145900354
18,134438.8167264674,135804.63995252937
19,134129.41533018264,137477.82883021707
20,133873.7779475634,135679.36084393552
21,133643.32120517932,134641.87294652642
22,133362.8111885729,135063.73003769887
23,133123.7952938787,135410.76664645158
24,132909.91744603426,134667.0725318705
25,132676.51906108428,134728.53905720293
26,132477.17421471223,134800.61077147519
27,132284.4949036355,134539.57005730848
28,132089.32255521545,134332.11083876994
29,131855.98081898925,133853.17587471433
30,131761.62161490452,133715.3092815777
31,131593.3196006206,133624.47035918926
32,131419.27568846458,133546.33718793077
33,131238.32230792288,132670.13643584913
34,131105.54019971087,133124.88079183467
35,130849.94684107264,133145.5812247844
36,130767.55283117454,133454.84530790613
37,130610.77754827954,132939.66222426546
38,130450.25378960384,132762.03141651704
39,130299.79272072682,133216.4060083375
