k,inertia
10,454130171904.0
11,375060430848.0
12,336225337344.0
13,274579554304.0
14,235652448256.0
15,211858800640.0
16,192706412544.0
17,154989068288.0
18,135365885952.0
19,120690384896.0
20,108468035584.0
21,103586250752.0
22,91900919808.0
23,81801543680.0
24,75796152320.0
25,70045450240.0
26,63479902208.0
27,60700446720.0
28,57646800896.0
29,51680280576.0
30,47704879104.0
31,45108674560.0
32,44718477312.0
33,42578788352.0
34,41153773568.0
35,39149395968.0
36,38394470400.0
37,35363385344.0
38,33199980544.0
39,31441172480.0
40,30137536512.0
41,28998983680.0
42,26074675200.0
43,24196868096.0
44,23376971776.0
45,22508240896.0
46,21455073280.0
47,20792545280.0
48,20023775232.0
49,18655346688.0
50,18027429888.0
51,17072837632.0
52,16618592256.0
53,15751415808.0
54,15010820096.0
55,14241755136.0
56,13557063680.0
57,13005937664.0
58,12569495552.0
59,12149895168.0
